text,label,language
Repu NumPy practice chestha.,0,te
Help cheyyi CSS.,1,te
Main chai pi raha hu.,0,hi
Best suggestion do JWT ke liye.,1,hi
Main chai pi raha hu.,0,hi
Weekend pe travel karunga.,0,hi
Lunch ho gaya.,0,hi
I completed my work.,0,en
Ye kaise kaam karta hai,1,hi
Lunch ayipoyindi.,0,te
Kal Docker practice karunga.,0,hi
Ippudu office lo unna.,0,te
Naku doubt undi Docker meeda.,1,te
Weekend ki travel veltha.,0,te
Today is a busy day.,0,en
Tomorrow I'll study Kubernetes.,0,en
What is Networking,1,en
Ee error enduku vastundi,1,te
I didn't understand Networking.,1,en
I'm reading a book.,0,en
Step by step batao AWS.,1,hi
Step by step explain cheyyi JWT.,1,te
Help karo Git me.,1,hi
Office ka kaam khatam hua.,0,hi
Mujhe Networking samjhao.,1,hi
Can you give me an example of React,1,en
Suggest cheyyi best way for Python.,1,te
Mujhe CSS samjhao.,1,hi
Repu Git practice chestha.,0,te
How do I learn AWS,1,en
I didn't understand Azure.,1,en
Repu NumPy practice chestha.,0,te
FastAPI kaise seekhun,1,hi
Kal movie dekhi.,0,hi
I finished my lunch.,0,en
I'm going to the office.,0,en
I completed my work.,0,en
Tomorrow I'll study NumPy.,0,en
I'm going to the office.,0,en
Nenu song vintunna.,0,te
Naku doubt undi Python meeda.,1,te
What is LLM,1,en
Coffee tagutunna.,0,te
Suggest cheyyi best way for AWS.,1,te
Help karo JWT me.,1,hi
Aaj mausam accha hai.,0,hi
Lunch ho gaya.,0,hi
Best suggestion do FastAPI ke liye.,1,hi
Idi ela pani chestundi,1,te
Naku doubt undi Networking meeda.,1,te
Lunch ho gaya.,0,hi
Step by step batao JavaScript.,1,hi
Ee crash enduku vastundi,1,te
Step by step batao Linux.,1,hi
Weekend ki travel veltha.,0,te
Step by step batao JWT.,1,hi
Ee crash enduku vastundi,1,te
What is Linux,1,en
I like learning Python.,0,en
Office ka kaam khatam hua.,0,hi
Today is a busy day.,0,en
Coffee tagutunna.,0,te
Repu OAuth practice chestha.,0,te
Lunch ho gaya.,0,hi
Main ghar ja raha hu.,0,hi
Can you solve this problem,1,en
How do I fix this syntax error in CSS,1,en
Why is this happening in JavaScript,1,en
What is SQL,1,en
Nenu intiki velthunna.,0,te
FastAPI kya hai,1,hi
Can you explain LLM,1,en
Ivala weather bagundi.,0,te
Weekend ki travel veltha.,0,te
Mujhe Networking me doubt hai.,1,hi
Ivala weather bagundi.,0,te
The weather is nice today.,0,en
Office ka kaam khatam hua.,0,hi
Main ghar ja raha hu.,0,hi
Why is this happening in Azure,1,en
JWT kaise seekhun,1,hi
Na friend ni kalisanu.,0,te
Suggest the best way to learn JavaScript.,1,en
Weekend pe travel karunga.,0,hi
Main chai pi raha hu.,0,hi
Main music sun raha hu.,0,hi
Nenu song vintunna.,0,te
Kal movie dekhi.,0,hi
Naku doubt undi Linux meeda.,1,te
Ye kaise kaam karta hai,1,hi
Lunch ayipoyindi.,0,te
Lunch ho gaya.,0,hi
FastAPI ela nerchukovali,1,te
Aaj bahut traffic tha.,0,hi
Suggest the best way to learn RAG.,1,en
Naku React ardham kaaledu.,1,te
Help me understand SQL.,1,en
Today is a busy day.,0,en
Step by step batao API.,1,hi
Nenu song vintunna.,0,te
Best suggestion do JWT ke liye.,1,hi
I'm going to the office.,0,en
I finished my lunch.,0,en
Oka example cheppu OAuth.,1,te
RAG kaise seekhun,1,hi
Azure ante enti,1,te
Coffee tagutunna.,0,te
Help me understand JWT.,1,en
Office ka kaam khatam hua.,0,hi
Mujhe RAG samjhao.,1,hi
Weekend ki travel veltha.,0,te
Movie chala bagundi.,0,te
Aaj mausam accha hai.,0,hi
React kaise seekhun,1,hi
Today is a busy day.,0,en
Main music sun raha hu.,0,hi
Naku doubt undi JavaScript meeda.,1,te
Lunch ayipoyindi.,0,te
OAuth ante enti,1,te
SQL ante enti,1,te
Suggest cheyyi best way for Git.,1,te
Idi ela pani chestundi,1,te
I'm listening to music.,0,en
Ee exception enduku vastundi,1,te
Step by step explain cheyyi Azure.,1,te
Today is a busy day.,0,en
Suggest the best way to learn FastAPI.,1,en
Tomorrow I'll study JWT.,0,en
Main chai pi raha hu.,0,hi
How do I fix this warning in Kubernetes,1,en
Ye kaise kaam karta hai,1,hi
Mujhe Networking samjhao.,1,hi
Weekend ki travel veltha.,0,te
Suggest the best way to learn API.,1,en
Naku doubt undi Azure meeda.,1,te
Today is a busy day.,0,en
How do I fix this issue in SQL,1,en
Movie chala bagundi.,0,te
Help karo Pandas me.,1,hi
Movie chala bagundi.,0,te
FastAPI kaise seekhun,1,hi
Main music sun raha hu.,0,hi
Can you explain OAuth,1,en
Repu Git practice chestha.,0,te
Help cheyyi Docker.,1,te
Ee problem enduku vastundi,1,te
Nenu song vintunna.,0,te
SQL ante enti,1,te
